State,County,Percent
Minnesota,Murray County,25.5
Minnesota,Nicollet County,16.2
Minnesota,Nobles County,16.4
Minnesota,Norman County,21.1
Minnesota,Olmsted County,15.5
Minnesota,Otter Tail County,23.8
Minnesota,Pennington County,18.3
Minnesota,Pine County,20.7
Minnesota,Pipestone County,21.0
Minnesota,Polk County,18.0
Minnesota,Pope County,24.4
Minnesota,Ramsey County,14.4
Minnesota,Red Lake County,20.9
Minnesota,Redwood County,21.1
Minnesota,Renville County,20.8
Minnesota,Rice County,15.4
Minnesota,Rock County,19.8
Minnesota,Roseau County,17.5
Minnesota,St. Louis County,19.4
Minnesota,Scott County,10.9
Minnesota,Sherburne County,11.3
Minnesota,Sibley County,18.3
Minnesota,Stearns County,15.1
Minnesota,Steele County,17.6
Minnesota,Stevens County,17.3
Minnesota,Swift County,21.9
Minnesota,Todd County,21.5
Minnesota,Traverse County,25.2
Minnesota,Wabasha County,21.8
Minnesota,Wadena County,21.0
Minnesota,Waseca County,18.2
Minnesota,Washington County,15.0
Minnesota,Watonwan County,20.0
Minnesota,Wilkin County,19.2
Minnesota,Winona County,17.0
Minnesota,Wright County,12.6
Minnesota,Yellow Medicine County,20.2
Mississippi,Adams County,18.8
Mississippi,Alcorn County,18.5
Mississippi,Amite County,23.5
Mississippi,Attala County,19.2
Mississippi,Benton County,18.7
Mississippi,Bolivar County,15.8
Mississippi,Calhoun County,18.9
Mississippi,Carroll County,23.7
Mississippi,Chickasaw County,17.2
Mississippi,Choctaw County,21.6
Mississippi,Claiborne County,16.4
Mississippi,Clarke County,20.4
Mississippi,Clay County,18.5
Mississippi,Coahoma County,15.4
Mississippi,Copiah County,17.6
Mississippi,Covington County,16.9
Mississippi,DeSoto County,12.9
Mississippi,Forrest County,13.6
Mississippi,Franklin County,19.9
Mississippi,George County,14.5
Mississippi,Greene County,14.9
Mississippi,Grenada County,17.8
Mississippi,Hancock County,19.8
Mississippi,Harrison County,15.0
Mississippi,Hinds County,14.1
Mississippi,Holmes County,15.0
Mississippi,Humphreys County,17.0
Mississippi,Issaquena County,16.7
Mississippi,Itawamba County,17.7
Mississippi,Jackson County,15.9
Mississippi,Jasper County,20.4
Mississippi,Jefferson County,16.9
Mississippi,Jefferson Davis County,22.7
Mississippi,Jones County,16.9
Mississippi,Kemper County,20.2
Mississippi,Lafayette County,12.6
Mississippi,Lamar County,13.8
Mississippi,Lauderdale County,17.4
Mississippi,Lawrence County,18.0
Mississippi,Leake County,16.3
Mississippi,Lee County,14.8
Mississippi,Leflore County,14.4
Mississippi,Lincoln County,17.2
Mississippi,Lowndes County,15.9
Mississippi,Madison County,13.3
Mississippi,Marion County,18.6
Mississippi,Marshall County,17.5
Mississippi,Monroe County,19.2
Mississippi,Montgomery County,21.6
Mississippi,Neshoba County,15.8
Mississippi,Newton County,16.7
Mississippi,Noxubee County,16.4
Mississippi,Oktibbeha County,11.5
Mississippi,Panola County,15.7
Mississippi,Pearl River County,18.8
Mississippi,Perry County,18.3
Mississippi,Pike County,17.3
Mississippi,Pontotoc County,15.0
Mississippi,Prentiss County,18.2
Mississippi,Quitman County,17.4
Mississippi,Rankin County,15.3
Mississippi,Scott County,15.1
Mississippi,Sharkey County,19.1
Mississippi,Simpson County,17.6
Mississippi,Smith County,19.6
Mississippi,Stone County,16.0
Mississippi,Sunflower County,13.7
Mississippi,Tallahatchie County,14.9
Mississippi,Tate County,16.7
Mississippi,Tippah County,16.5
Mississippi,Tishomingo County,20.4
Mississippi,Tunica County,12.2
Mississippi,Union County,16.7
Mississippi,Walthall County,19.6
Mississippi,Warren County,16.6
Mississippi,Washington County,15.8
Mississippi,Wayne County,17.1
Mississippi,Webster County,17.8
Mississippi,Wilkinson County,17.2
Mississippi,Winston County,20.0
Mississippi,Yalobusha County,20.0
Mississippi,Yazoo County,13.3
Missouri,Adair County,14.8
Missouri,Andrew County,18.5
Missouri,Atchison County,25.4
Missouri,Audrain County,17.9
Missouri,Barry County,20.6
Missouri,Barton County,20.5
Missouri,Bates County,19.4
Missouri,Benton County,30.8
Missouri,Bollinger County,20.6
Missouri,Boone County,12.3
Missouri,Buchanan County,16.1
Missouri,Butler County,18.8
Missouri,Caldwell County,19.8
Missouri,Callaway County,16.3
Missouri,Camden County,28.2
Missouri,Cape Girardeau County,16.9
Missouri,Carroll County,21.8
Missouri,Carter County,19.9
Missouri,Cass County,16.9
Missouri,Cedar County,23.4
Missouri,Chariton County,23.6
Missouri,Christian County,15.7
Missouri,Clark County,20.8
Missouri,Clay County,14.1
Missouri,Clinton County,18.1
Missouri,Cole County,16.6
Missouri,Cooper County,17.9
Missouri,Crawford County,19.7
Missouri,Dade County,23.6
Missouri,Dallas County,20.3
Missouri,Daviess County,20.4
Missouri,DeKalb County,16.6
Missouri,Dent County,21.8
Missouri,Douglas County,24.3
Missouri,Dunklin County,18.7
Missouri,Franklin County,17.4
Missouri,Gasconade County,22.7
Missouri,Gentry County,19.9
Missouri,Greene County,16.5
Missouri,Grundy County,21.6
Missouri,Harrison County,22.5
Missouri,Henry County,21.7
Missouri,Hickory County,32.8
Missouri,Holt County,25.1
Missouri,Howard County,19.3
Missouri,Howell County,19.8
Missouri,Iron County,21.4
Missouri,Jackson County,14.9
Missouri,Jasper County,15.6
Missouri,Jefferson County,15.0
Missouri,Johnson County,12.7
Missouri,Knox County,22.1
Missouri,Laclede County,17.8
Missouri,Lafayette County,18.9
Missouri,Lawrence County,18.3
Missouri,Lewis County,18.5
Missouri,Lincoln County,13.4
Missouri,Linn County,21.1
Missouri,Livingston County,19.2
Missouri,McDonald County,15.3
Missouri,Macon County,22.7
Missouri,Madison County,19.1
Missouri,Maries County,21.5
Missouri,Marion County,18.1
Missouri,Mercer County,22.1
Missouri,Miller County,19.3
Missouri,Mississippi County,17.8
Missouri,Moniteau County,15.8
Missouri,Monroe County,23.3
Missouri,Montgomery County,21.2
Missouri,Morgan County,23.4
Missouri,New Madrid County,19.2
Missouri,Newton County,18.1
Missouri,Nodaway County,15.3
Missouri,Oregon County,23.3
Missouri,Osage County,17.4
Missouri,Ozark County,28.8
Missouri,Pemiscot County,17.1
Missouri,Perry County,18.1
Missouri,Pettis County,16.7
Missouri,Phelps County,16.4
Missouri,Pike County,17.4
Missouri,Platte County,14.5
Missouri,Polk County,18.0
Missouri,Pulaski County,9.0
Missouri,Putnam County,24.5
Missouri,Ralls County,21.8
Missouri,Randolph County,16.8
Missouri,Ray County,18.5
Missouri,Reynolds County,23.2
Missouri,Ripley County,20.4
Missouri,St. Charles County,15.2
Missouri,St. Clair County,27.0
Missouri,Ste. Genevieve County,19.5
Missouri,St. Francois County,16.4
Missouri,St. Louis County,18.1
Missouri,Saline County,18.3
Missouri,Schuyler County,19.8
Missouri,Scotland County,18.1
Missouri,Scott County,18.0
Missouri,Shannon County,22.1
Missouri,Shelby County,21.3
Missouri,Stoddard County,20.0
Missouri,Stone County,31.0
Missouri,Sullivan County,20.2
Missouri,Taney County,21.7
Missouri,Texas County,21.1
Missouri,Vernon County,19.4
Missouri,Warren County,17.6
Missouri,Washington County,16.7
Missouri,Wayne County,23.5
Missouri,Webster County,15.4
Missouri,Worth County,24.8
Missouri,Wright County,19.8
Missouri,St. Louis city,13.7
Montana,Beaverhead County,22.0
Montana,Big Horn County,12.8
Montana,Blaine County,15.4
Montana,Broadwater County,23.7
Montana,Carbon County,25.8
Montana,Carter County,25.8
Montana,Cascade County,18.6
Montana,Chouteau County,20.4
Montana,Custer County,20.0
Montana,Daniels County,26.5
Montana,Dawson County,19.9
Montana,Deer Lodge County,23.9
Montana,Fallon County,16.9
Montana,Fergus County,24.5
Montana,Flathead County,19.5
Montana,Gallatin County,12.6
Montana,Garfield County,23.3
Montana,Glacier County,12.0
Montana,Golden Valley County,27.1
Montana,Granite County,30.6
Montana,Hill County,15.2
Montana,Jefferson County,21.4
Montana,Judith Basin County,27.1
Montana,Lake County,22.1
Montana,Lewis and Clark County,18.8
Montana,Liberty County,20.6
Montana,Lincoln County,28.6
Montana,McCone County,26.1
Montana,Madison County,28.2
Montana,Meagher County,30.7
Montana,Mineral County,28.9
Montana,Missoula County,15.6
Montana,Musselshell County,26.6
Montana,Park County,22.7
Montana,Petroleum County,25.0
Montana,Phillips County,22.3
Montana,Pondera County,20.4
Montana,Powder River County,27.2
Montana,Powell County,20.6
Montana,Prairie County,31.8
Montana,Ravalli County,25.8
Montana,Richland County,15.0
Montana,Roosevelt County,11.4
Montana,Rosebud County,15.8
Montana,Sanders County,31.2
Montana,Sheridan County,22.6
Montana,Silver Bow County,19.1
Montana,Stillwater County,22.7
Montana,Sweet Grass County,26.6
Montana,Teton County,22.7
Montana,Toole County,18.5
Montana,Treasure County,28.6
Montana,Valley County,23.4
Montana,Wheatland County,23.9
Montana,Wibaux County,24.3
Montana,Yellowstone County,16.9
Nebraska,Adams County,18.2
Nebraska,Antelope County,23.6
Nebraska,Arthur County,21.9
Nebraska,Banner County,23.8
Nebraska,Blaine County,25.4
Nebraska,Boone County,22.8
Nebraska,Box Butte County,19.0
Nebraska,Boyd County,30.6
Nebraska,Brown County,26.1
Nebraska,Buffalo County,14.5
Nebraska,Burt County,24.1
Nebraska,Butler County,20.9
Nebraska,Cass County,17.5
Nebraska,Cedar County,21.4
Nebraska,Chase County,20.5
Nebraska,Cherry County,21.8
Nebraska,Cheyenne County,19.4
Nebraska,Clay County,20.3
Nebraska,Colfax County,13.5
Nebraska,Cuming County,22.0
Nebraska,Custer County,22.4
Nebraska,Dakota County,13.6
Nebraska,Dawes County,18.5
Nebraska,Dawson County,16.6
Nebraska,Deuel County,23.5
Nebraska,Dixon County,20.1
Nebraska,Dodge County,19.2
Nebraska,Douglas County,13.0
Nebraska,Dundy County,25.3
Nebraska,Fillmore County,22.6
Nebraska,Franklin County,28.2
Nebraska,Frontier County,23.9
Nebraska,Furnas County,25.0
Nebraska,Gage County,20.8
Nebraska,Garden County,27.9
Nebraska,Garfield County,28.7
Nebraska,Gosper County,23.9
Nebraska,Grant County,22.6
Nebraska,Greeley County,25.6
Nebraska,Hall County,14.9
Nebraska,Hamilton County,19.9
Nebraska,Harlan County,26.2
Nebraska,Hayes County,27.5
Nebraska,Hitchcock County,25.3
Nebraska,Holt County,21.6
Nebraska,Hooker County,30.5
Nebraska,Howard County,21.1
Nebraska,Jefferson County,23.9
Nebraska,Johnson County,18.8
Nebraska,Kearney County,19.6
Nebraska,Keith County,26.7
Nebraska,Keya Paha County,31.0
Nebraska,Kimball County,24.4
Nebraska,Knox County,24.7
Nebraska,Lancaster County,13.9
Nebraska,Lincoln County,19.3
Nebraska,Logan County,22.6
Nebraska,Loup County,26.7
Nebraska,McPherson County,24.2
Nebraska,Madison County,15.9
Nebraska,Merrick County,20.6
Nebraska,Morrill County,21.2
Nebraska,Nance County,21.4
Nebraska,Nemaha County,20.1
Nebraska,Nuckolls County,27.1
Nebraska,Otoe County,19.5
Nebraska,Pawnee County,28.7
Nebraska,Perkins County,23.5
Nebraska,Phelps County,20.7
Nebraska,Pierce County,19.3
Nebraska,Platte County,17.2
Nebraska,Polk County,22.9
Nebraska,Red Willow County,20.8
Nebraska,Richardson County,24.7
Nebraska,Rock County,26.7
Nebraska,Saline County,15.0
Nebraska,Sarpy County,11.8
Nebraska,Saunders County,18.7
Nebraska,Scotts Bluff County,19.0
Nebraska,Seward County,16.8
Nebraska,Sheridan County,26.8
Nebraska,Sherman County,27.1
Nebraska,Sioux County,28.6
Nebraska,Stanton County,17.9
Nebraska,Thayer County,25.3
Nebraska,Thomas County,26.0
Nebraska,Thurston County,11.8
Nebraska,Valley County,25.3
Nebraska,Washington County,17.8
Nebraska,Wayne County,16.3
Nebraska,Webster County,22.9
Nebraska,Wheeler County,25.8
Nebraska,York County,20.3
Nevada,Churchill County,18.9
Nevada,Clark County,14.7
Nevada,Douglas County,28.5
Nevada,Elko County,11.3
Nevada,Esmeralda County,36.8
Nevada,Eureka County,16.3
Nevada,Humboldt County,13.7
Nevada,Lander County,15.8
Nevada,Lincoln County,24.8
Nevada,Lyon County,21.2
Nevada,Mineral County,24.7
Nevada,Nye County,30.1
Nevada,Pershing County,15.9
Nevada,Storey County,31.5
Nevada,Washoe County,16.4
Nevada,White Pine County,18.0
Nevada,Carson City,20.3
New Hampshire,Belknap County,22.1
New Hampshire,Carroll County,27.9
New Hampshire,Cheshire County,19.9
New Hampshire,Coos County,23.7
New Hampshire,Grafton County,20.7
New Hampshire,Hillsborough County,15.7
New Hampshire,Merrimack County,18.2
New Hampshire,Rockingham County,18.0
New Hampshire,Strafford County,15.0
New Hampshire,Sullivan County,21.5
New Jersey,Atlantic County,17.9
New Jersey,Bergen County,17.2
New Jersey,Burlington County,16.9
New Jersey,Camden County,15.7
New Jersey,Cape May County,26.6
New Jersey,Cumberland County,15.3
New Jersey,Essex County,13.6
New Jersey,Gloucester County,15.8
New Jersey,Hudson County,11.8
New Jersey,Hunterdon County,18.5
New Jersey,Mercer County,15.1
New Jersey,Middlesex County,15.0
New Jersey,Monmouth County,17.6
New Jersey,Morris County,17.1
New Jersey,Ocean County,22.5
New Jersey,Passaic County,14.5
New Jersey,Salem County,18.6
New Jersey,Somerset County,15.6
New Jersey,Sussex County,17.3
New Jersey,Union County,14.4
New Jersey,Warren County,18.2
New Mexico,Bernalillo County,16.4
New Mexico,Catron County,41.5
New Mexico,Chaves County,16.0
New Mexico,Cibola County,16.1
New Mexico,Colfax County,26.8
New Mexico,Curry County,12.5
New Mexico,De Baca County,27.9
New Mexico,Doña Ana County,15.8
New Mexico,Eddy County,14.5
New Mexico,Grant County,27.7
New Mexico,Guadalupe County,19.6
New Mexico,Harding County,37.7
New Mexico,Hidalgo County,22.4
New Mexico,Lea County,11.4
New Mexico,Lincoln County,28.7
New Mexico,Los Alamos County,17.9
New Mexico,Luna County,21.1
New Mexico,McKinley County,12.4
New Mexico,Mora County,28.8
New Mexico,Otero County,17.2
New Mexico,Quay County,25.5
New Mexico,Rio Arriba County,19.4
New Mexico,Roosevelt County,14.3
New Mexico,Sandoval County,17.7
New Mexico,San Juan County,14.9
New Mexico,San Miguel County,21.7
New Mexico,Santa Fe County,24.3
New Mexico,Sierra County,36.5
New Mexico,Socorro County,19.3
New Mexico,Taos County,26.5
New Mexico,Torrance County,20.7
New Mexico,Union County,20.9
New Mexico,Valencia County,17.7
New York,Albany County,17.0
New York,Allegany County,19.0
New York,Bronx County,12.8
New York,Broome County,19.1
New York,Cattaraugus County,19.2
New York,Cayuga County,19.1
New York,Chautauqua County,20.1
New York,Chemung County,19.0
New York,Chenango County,20.4
New York,Clinton County,17.1
New York,Columbia County,23.8
New York,Cortland County,16.5
New York,Delaware County,24.5
New York,Dutchess County,17.6
New York,Erie County,17.9
New York,Essex County,23.4
New York,Franklin County,16.8
New York,Fulton County,19.6
New York,Genesee County,18.7
New York,Greene County,22.1
New York,Hamilton County,31.3
New York,Herkimer County,20.7
New York,Jefferson County,13.7
New York,Kings County,13.9
New York,Lewis County,18.3
New York,Livingston County,17.9
New York,Madison County,18.3
New York,Monroe County,17.2
New York,Montgomery County,18.6
New York,Nassau County,17.8
New York,New York County,16.5
New York,Niagara County,19.1
New York,Oneida County,18.8
New York,Onondaga County,17.0
New York,Ontario County,19.9
New York,Orange County,14.0
New York,Orleans County,17.9
New York,Oswego County,16.3
New York,Otsego County,21.2
New York,Putnam County,17.4
New York,Queens County,15.7
New York,Rensselaer County,17.0
New York,Richmond County,16.2
New York,Rockland County,15.7
New York,St. Lawrence County,17.4
New York,Saratoga County,18.1
New York,Schenectady County,17.1
New York,Schoharie County,21.9
New York,Schuyler County,21.3
New York,Seneca County,19.2
New York,Steuben County,19.7
New York,Suffolk County,16.9
New York,Sullivan County,18.9
New York,Tioga County,20.3
New York,Tompkins County,14.5
New York,Ulster County,19.8
New York,Warren County,22.2
New York,Washington County,19.5
New York,Wayne County,18.9
New York,Westchester County,17.1
New York,Wyoming County,17.9
New York,Yates County,20.8
North Carolina,Alamance County,16.9
North Carolina,Alexander County,20.0
North Carolina,Alleghany County,27.1
North Carolina,Anson County,18.5
North Carolina,Ashe County,25.7
North Carolina,Avery County,22.2
North Carolina,Beaufort County,24.0
North Carolina,Bertie County,23.0
North Carolina,Bladen County,21.8
North Carolina,Brunswick County,31.5
North Carolina,Buncombe County,20.0
North Carolina,Burke County,20.2
North Carolina,Cabarrus County,13.2
North Carolina,Caldwell County,19.9
North Carolina,Camden County,16.3
North Carolina,Carteret County,25.0
North Carolina,Caswell County,21.5
North Carolina,Catawba County,17.9
North Carolina,Chatham County,24.4
North Carolina,Cherokee County,29.6
North Carolina,Chowan County,24.6
North Carolina,Clay County,31.1
North Carolina,Cleveland County,18.6
North Carolina,Columbus County,20.1
North Carolina,Craven County,19.0
North Carolina,Cumberland County,11.9
North Carolina,Currituck County,16.2
North Carolina,Dare County,21.4
North Carolina,Davidson County,18.2
North Carolina,Davie County,21.2
North Carolina,Duplin County,18.7
North Carolina,Durham County,13.1
North Carolina,Edgecombe County,19.7
North Carolina,Forsyth County,16.0
North Carolina,Franklin County,16.8
North Carolina,Gaston County,16.1
North Carolina,Gates County,20.2
North Carolina,Graham County,23.8
North Carolina,Granville County,17.1
North Carolina,Greene County,16.6
North Carolina,Guilford County,15.2
North Carolina,Halifax County,20.7
North Carolina,Harnett County,12.5
North Carolina,Haywood County,24.6
North Carolina,Henderson County,25.8
North Carolina,Hertford County,19.8
North Carolina,Hoke County,10.1
North Carolina,Hyde County,20.7
North Carolina,Iredell County,15.9
North Carolina,Jackson County,19.7
North Carolina,Johnston County,13.3
North Carolina,Jones County,22.6
North Carolina,Lee County,16.5
North Carolina,Lenoir County,19.8
North Carolina,Lincoln County,17.7
North Carolina,McDowell County,20.5
North Carolina,Macon County,28.5
North Carolina,Madison County,22.3
North Carolina,Martin County,23.1
North Carolina,Mecklenburg County,11.2
North Carolina,Mitchell County,24.9
North Carolina,Montgomery County,20.5
North Carolina,Moore County,23.9
North Carolina,Nash County,18.5
North Carolina,New Hanover County,17.7
North Carolina,Northampton County,25.9
North Carolina,Onslow County,9.2
North Carolina,Orange County,14.0
North Carolina,Pamlico County,29.8
North Carolina,Pasquotank County,16.9
North Carolina,Pender County,18.0
North Carolina,Perquimans County,26.8
North Carolina,Person County,19.6
North Carolina,Pitt County,13.2
North Carolina,Polk County,31.1
North Carolina,Randolph County,17.7
North Carolina,Richmond County,17.9
North Carolina,Robeson County,15.2
North Carolina,Rockingham County,20.5
North Carolina,Rowan County,17.6
North Carolina,Rutherford County,21.6
North Carolina,Sampson County,17.8
North Carolina,Scotland County,18.3
North Carolina,Stanly County,18.9
North Carolina,Stokes County,21.3
North Carolina,Surry County,20.5
North Carolina,Swain County,19.2
North Carolina,Transylvania County,30.5
North Carolina,Tyrrell County,19.3
North Carolina,Union County,12.7
North Carolina,Vance County,18.5
North Carolina,Wake County,11.6
North Carolina,Warren County,25.4
North Carolina,Washington County,24.4
North Carolina,Watauga County,15.8
North Carolina,Wayne County,16.4
North Carolina,Wilkes County,21.6
North Carolina,Wilson County,18.3
North Carolina,Yadkin County,20.2
North Carolina,Yancey County,25.7
North Dakota,Adams County,27.9
North Dakota,Barnes County,22.8
North Dakota,Benson County,13.9
North Dakota,Billings County,22.4
North Dakota,Bottineau County,23.8
North Dakota,Bowman County,21.4
North Dakota,Burke County,20.8
North Dakota,Burleigh County,16.1
North Dakota,Cass County,12.0
North Dakota,Cavalier County,27.0
North Dakota,Dickey County,20.4
North Dakota,Divide County,25.3
North Dakota,Dunn County,15.9
North Dakota,Eddy County,23.0
North Dakota,Emmons County,27.9
North Dakota,Foster County,22.5
North Dakota,Golden Valley County,24.4
North Dakota,Grand Forks County,12.7
North Dakota,Grant County,29.9
North Dakota,Griggs County,30.2
North Dakota,Hettinger County,22.4
North Dakota,Kidder County,24.5
North Dakota,LaMoure County,27.0
North Dakota,Logan County,26.0
North Dakota,McHenry County,20.4
North Dakota,McIntosh County,30.7
North Dakota,McKenzie County,9.2
North Dakota,McLean County,23.6
North Dakota,Mercer County,19.3
North Dakota,Morton County,16.7
North Dakota,Mountrail County,11.7
North Dakota,Nelson County,26.9
North Dakota,Oliver County,22.2
North Dakota,Pembina County,23.1
North Dakota,Pierce County,23.6
North Dakota,Ramsey County,19.9
North Dakota,Ransom County,20.6
North Dakota,Renville County,20.3
North Dakota,Richland County,17.9
North Dakota,Rolette County,11.7
North Dakota,Sargent County,22.5
North Dakota,Sheridan County,32.4
North Dakota,Sioux County,8.1
North Dakota,Slope County,22.9
North Dakota,Stark County,13.6
North Dakota,Steele County,24.1
North Dakota,Stutsman County,19.1
North Dakota,Towner County,25.1
North Dakota,Traill County,19.6
North Dakota,Walsh County,21.2
North Dakota,Ward County,12.8
North Dakota,Wells County,27.8
North Dakota,Williams County,9.6
Ohio,Adams County,17.9
Ohio,Allen County,17.6
Ohio,Ashland County,18.7
Ohio,Ashtabula County,19.1
Ohio,Athens County,13.2
Ohio,Auglaize County,18.4
Ohio,Belmont County,20.8
Ohio,Brown County,18.0
Ohio,Butler County,14.7
Ohio,Carroll County,21.1
Ohio,Champaign County,18.1
Ohio,Clark County,19.4
Ohio,Clermont County,16.3
Ohio,Clinton County,17.1
Ohio,Columbiana County,20.5
Ohio,Coshocton County,19.5
Ohio,Crawford County,21.0
Ohio,Cuyahoga County,18.2
Ohio,Darke County,19.6
Ohio,Defiance County,18.6
Ohio,Delaware County,13.7
Ohio,Erie County,21.9
Ohio,Fairfield County,15.8
Ohio,Fayette County,17.8
Ohio,Franklin County,12.0
Ohio,Fulton County,17.8
Ohio,Gallia County,19.1
Ohio,Geauga County,20.4
Ohio,Greene County,17.2
Ohio,Guernsey County,19.5
Ohio,Hamilton County,15.3
Ohio,Hancock County,17.3
Ohio,Hardin County,16.1
Ohio,Harrison County,21.3
Ohio,Henry County,18.7
Ohio,Highland County,18.5
Ohio,Hocking County,19.1
Ohio,Holmes County,13.7
Ohio,Huron County,17.1
Ohio,Jackson County,17.3
Ohio,Jefferson County,21.6
Ohio,Knox County,18.1
Ohio,Lake County,20.0
Ohio,Lawrence County,18.9
Ohio,Licking County,16.4
Ohio,Logan County,18.1
Ohio,Lorain County,18.3
Ohio,Lucas County,16.3
Ohio,Madison County,15.5
Ohio,Mahoning County,21.0
Ohio,Marion County,17.7
Ohio,Medina County,17.9
Ohio,Meigs County,19.9
Ohio,Mercer County,17.8
Ohio,Miami County,18.6
Ohio,Monroe County,23.5
Ohio,Montgomery County,18.0
Ohio,Morgan County,21.4
Ohio,Morrow County,17.2
Ohio,Muskingum County,17.8
Ohio,Noble County,27.5
Ohio,Ottawa County,25.0
Ohio,Paulding County,18.6
Ohio,Perry County,16.5
Ohio,Pickaway County,15.7
Ohio,Pike County,17.8
Ohio,Portage County,16.4
Ohio,Preble County,19.3
Ohio,Putnam County,17.4
Ohio,Richland County,19.5
Ohio,Ross County,16.7
Ohio,Sandusky County,18.8
Ohio,Scioto County,18.3
Ohio,Seneca County,18.1
Ohio,Shelby County,16.5
Ohio,Stark County,19.5
Ohio,Summit County,17.9
Ohio,Trumbull County,21.6
Ohio,Tuscarawas County,19.6
Ohio,Union County,12.3
Ohio,Van Wert County,19.0
Ohio,Vinton County,17.8
Ohio,Warren County,14.5
Ohio,Washington County,21.1
Ohio,Wayne County,17.9
Ohio,Williams County,18.8
Ohio,Wood County,15.3
Ohio,Wyandot County,19.5
Oklahoma,Adair County,15.9
Oklahoma,Alfalfa County,19.6
Oklahoma,Atoka County,19.8
Oklahoma,Beaver County,19.7
Oklahoma,Beckham County,14.3
Oklahoma,Blaine County,19.6
Oklahoma,Bryan County,18.0
Oklahoma,Caddo County,16.8
Oklahoma,Canadian County,13.0
Oklahoma,Carter County,16.8
Oklahoma,Cherokee County,16.7
Oklahoma,Choctaw County,20.7
Oklahoma,Cimarron County,25.5
Oklahoma,Cleveland County,13.4
Oklahoma,Coal County,20.3
Oklahoma,Comanche County,12.6
Oklahoma,Cotton County,19.4
Oklahoma,Craig County,19.6
Oklahoma,Creek County,17.6
Oklahoma,Custer County,13.8
Oklahoma,Delaware County,25.0
Oklahoma,Dewey County,18.4
Oklahoma,Ellis County,22.4
Oklahoma,Garfield County,16.4
Oklahoma,Garvin County,17.9
Oklahoma,Grady County,16.2
Oklahoma,Grant County,22.0
Oklahoma,Greer County,17.8
Oklahoma,Harmon County,19.7
Oklahoma,Harper County,18.1
Oklahoma,Haskell County,20.3
Oklahoma,Hughes County,18.8
Oklahoma,Jackson County,14.8
Oklahoma,Jefferson County,21.3
Oklahoma,Johnston County,19.4
Oklahoma,Kay County,19.3
Oklahoma,Kingfisher County,16.0
Oklahoma,Kiowa County,19.8
Oklahoma,Latimer County,22.2
Oklahoma,Le Flore County,18.1
Oklahoma,Lincoln County,18.3
Oklahoma,Logan County,15.8
Oklahoma,Love County,19.1
Oklahoma,McClain County,15.5
Oklahoma,McCurtain County,18.2
Oklahoma,McIntosh County,25.3
Oklahoma,Major County,20.9
Oklahoma,Marshall County,21.7
Oklahoma,Mayes County,18.4
Oklahoma,Murray County,19.7
Oklahoma,Muskogee County,16.7
Oklahoma,Noble County,19.4
Oklahoma,Nowata County,19.2
Oklahoma,Okfuskee County,17.7
Oklahoma,Oklahoma County,13.7
Oklahoma,Okmulgee County,18.9
Oklahoma,Osage County,20.0
Oklahoma,Ottawa County,18.3
Oklahoma,Pawnee County,19.3
Oklahoma,Payne County,12.6
Oklahoma,Pittsburg County,20.0
Oklahoma,Pontotoc County,16.5
Oklahoma,Pottawatomie County,16.3
Oklahoma,Pushmataha County,23.0
Oklahoma,Roger Mills County,20.8
Oklahoma,Rogers County,16.4
Oklahoma,Seminole County,18.0
Oklahoma,Sequoyah County,18.9
Oklahoma,Stephens County,20.0
Oklahoma,Texas County,11.7
Oklahoma,Tillman County,20.0
Oklahoma,Tulsa County,14.4
Oklahoma,Wagoner County,16.3
Oklahoma,Washington County,19.5
Oklahoma,Washita County,18.0
Oklahoma,Woods County,17.1
Oklahoma,Woodward County,15.7
Oregon,Baker County,26.4
Oregon,Benton County,16.2
Oregon,Clackamas County,18.1
Oregon,Clatsop County,22.4
Oregon,Columbia County,18.7
Oregon,Coos County,25.8
Oregon,Crook County,24.9
Oregon,Curry County,34.2
Oregon,Deschutes County,20.0
Oregon,Douglas County,25.7
Oregon,Gilliam County,27.8
Oregon,Grant County,30.4
Oregon,Harney County,24.5
Oregon,Hood River County,15.6
Oregon,Jackson County,22.0
Oregon,Jefferson County,19.5
Oregon,Josephine County,26.0
Oregon,Klamath County,21.2
Oregon,Lake County,25.2
Oregon,Lane County,19.3
Oregon,Lincoln County,28.4
Oregon,Linn County,18.6
Oregon,Malheur County,16.5
Oregon,Marion County,15.7
Oregon,Morrow County,16.5
Oregon,Multnomah County,13.4
Oregon,Polk County,17.9
Oregon,Sherman County,26.5
Oregon,Tillamook County,25.8
Oregon,Umatilla County,15.6
Oregon,Union County,20.2
Oregon,Wallowa County,29.2
Oregon,Wasco County,20.6
Oregon,Washington County,13.4
Oregon,Wheeler County,34.8
Oregon,Yamhill County,17.1
Pennsylvania,Adams County,20.4
Pennsylvania,Allegheny County,18.9
Pennsylvania,Armstrong County,22.0
Pennsylvania,Beaver County,21.5
Pennsylvania,Bedford County,22.9
Pennsylvania,Berks County,17.2
Pennsylvania,Blair County,20.8
Pennsylvania,Bradford County,21.3
Pennsylvania,Bucks County,18.6
Pennsylvania,Butler County,18.8
Pennsylvania,Cambria County,22.6
Pennsylvania,Cameron County,27.2
Pennsylvania,Carbon County,21.2
Pennsylvania,Centre County,14.2
Pennsylvania,Chester County,16.3
Pennsylvania,Clarion County,19.6
Pennsylvania,Clearfield County,20.5
Pennsylvania,Clinton County,18.7
Pennsylvania,Columbia County,19.5
