Year,ID Geography,Geography,Adult Obesity,Adult Smoking,Air Pollution,Diabetes Prevalence,Food Environment Index
"2018","05000US20201","Washington County, KS",0.31200000643730164,0.13840845227241516,8.899999618530273,0.11500000208616257,7.099999904632568
"2018","05000US56045","Weston County, WY",0.3199999928474426,0.17138129472732544,6.699999809265137,0.10199999809265137,8.100000381469727
"2018","05000US01001","Autauga County, AL",0.36399999260902405,0.19124658405780792,10.800000190734863,0.12399999797344208,7.099999904632568
"2018","05000US36119","Westchester County, NY",0.20800000429153442,0.11379754543304443,10.100000381469727,0.0860000029206276,9.199999809265137
"2018","05000US36115","Washington County, NY",0.30799999833106995,0.19022604823112488,8.300000190734863,0.1080000028014183,8.300000190734863
"2018","05000US01003","Baldwin County, AL",0.2930000126361847,0.16795484721660614,9.600000381469727,0.11100000143051147,7.900000095367432
"2018","05000US56043","Washakie County, WY",0.2709999978542328,0.15607573091983795,6.400000095367432,0.11500000208616257,8.399999618530273
"2018","05000US36113","Warren County, NY",0.2590000033378601,0.18180039525032043,8,0.09700000286102295,8.399999618530273
"2018","05000US36121","Wyoming County, NY",0.2720000147819519,0.21926389634609222,9.199999809265137,0.08699999749660492,8.199999809265137
"2018","05000US01005","Barbour County, AL",0.44200000166893005,0.21540877223014832,10.100000381469727,0.18199999630451202,5.5
"2018","05000US56041","Uinta County, WY",0.32199999690055847,0.18180586397647858,6.699999809265137,0.10000000149011612,7.599999904632568
"2018","05000US36111","Ulster County, NY",0.2639999985694885,0.1581238955259323,8.300000190734863,0.0820000022649765,8.100000381469727
"2018","05000US01007","Bibb County, AL",0.3840000033378601,0.19916404783725739,10.5,0.1459999978542328,7.599999904632568
"2018","05000US36123","Yates County, NY",0.2630000114440918,0.16270583868026733,8.600000381469727,0.10499999672174454,8.699999809265137
"2018","05000US36109","Tompkins County, NY",0.24400000274181366,0.1498778611421585,8.699999809265137,0.07500000298023224,7.699999809265137
"2018","05000US01009","Blount County, AL",0.3580000102519989,0.1965215802192688,11.300000190734863,0.14399999380111694,8.5
"2018","05000US56039","Teton County, WY",0.13300000131130219,0.1413726657629013,6.300000190734863,0.04500000178813934,8.199999809265137
"2018","05000US36107","Tioga County, NY",0.30000001192092896,0.1690240353345871,8.699999809265137,0.1080000028014183,8.699999809265137
"2018","05000US37001","Alamance County, NC",0.32899999618530273,0.1879076510667801,9.300000190734863,0.11599999666213989,7.099999904632568
"2018","05000US01011","Bullock County, AL",0.4020000100135803,0.23478290438652039,9.800000190734863,0.19499999284744263,4.5
"2018","05000US56037","Sweetwater County, WY",0.3109999895095825,0.17566943168640137,7.099999904632568,0.07900000363588333,7.900000095367432
"2018","05000US36105","Sullivan County, NY",0.2980000078678131,0.18199020624160767,7.800000190734863,0.10700000077486038,8.199999809265137
"2018","05000US01013","Butler County, AL",0.36000001430511475,0.22197654843330383,9.399999618530273,0.17499999701976776,6.5
"2018","05000US37003","Alexander County, NC",0.32199999690055847,0.1858459860086441,9.600000381469727,0.11900000274181366,8
"2018","05000US36103","Suffolk County, NY",0.24799999594688416,0.1503843069076538,8.600000381469727,0.08799999952316284,9.399999618530273
"2018","05000US01015","Calhoun County, AL",0.3610000014305115,0.2046223133802414,11.600000381469727,0.16300000250339508,6.800000190734863
"2018","05000US56035","Sublette County, WY",0.2619999945163727,0.14415015280246735,6.5,0.07699999958276749,8.399999618530273
"2018","05000US36101","Steuben County, NY",0.32499998807907104,0.19451512396335602,8.399999618530273,0.11999999731779099,8.100000381469727
"2018","05000US37005","Alleghany County, NC",0.28299999237060547,0.1851520836353302,8.300000190734863,0.12999999523162842,8.199999809265137
"2018","05000US01017","Chambers County, AL",0.3799999952316284,0.22040370106697083,10.399999618530273,0.1599999964237213,6.099999904632568
"2018","05000US56033","Sheridan County, WY",0.25099998712539673,0.16145572066307068,7.400000095367432,0.0989999994635582,7.5
"2018","05000US36099","Seneca County, NY",0.289000004529953,0.175538569688797,9,0.10199999809265137,8.100000381469727
"2018","05000US01019","Cherokee County, AL",0.35499998927116394,0.19144852459430695,10.800000190734863,0.1289999932050705,8.199999809265137
"2018","05000US37007","Anson County, NC",0.34599998593330383,0.218517005443573,9.5,0.1420000046491623,6.300000190734863
"2018","05000US36097","Schuyler County, NY",0.2720000147819519,0.17459486424922943,8.5,0.1120000034570694,8.300000190734863
"2018","05000US01021","Chilton County, AL",0.36000001430511475,0.19673274457454681,10.5,0.14100000262260437,8.199999809265137
"2018","05000US56031","Platte County, WY",0.28700000047683716,0.1589048206806183,6.300000190734863,0.08699999749660492,7.800000190734863
"2018","05000US36095","Schoharie County, NY",0.2770000100135803,0.17762261629104614,7.300000190734863,0.0989999994635582,8.199999809265137
"2018","05000US37009","Ashe County, NC",0.30000001192092896,0.16949774324893951,8.199999809265137,0.12200000137090683,8
"2018","05000US01023","Choctaw County, AL",0.39500001072883606,0.19062060117721558,9.600000381469727,0.16599999368190765,6.199999809265137
"2018","05000US56029","Park County, WY",0.24799999594688416,0.14300251007080078,6.300000190734863,0.07699999958276749,8.199999809265137
"2018","05000US36093","Schenectady County, NY",0.27000001072883606,0.1649913340806961,8.5,0.08299999684095383,8.100000381469727
"2018","05000US01025","Clarke County, AL",0.3840000033378601,0.20933322608470917,9.600000381469727,0.1679999977350235,5.199999809265137
"2018","05000US37011","Avery County, NC",0.2759999930858612,0.18803828954696655,8.300000190734863,0.12399999797344208,8.300000190734863
"2018","05000US36091","Saratoga County, NY",0.2709999978542328,0.15531912446022034,8.699999809265137,0.09300000220537186,8.800000190734863
