Date,County,New Confirmed Cases,Total Confirmed Cases,New Probable and Confirmed Deaths,Total Probable and Confirmed Deaths
10/27/2020,Worcester,139,16349,1,1162
10/27/2020,Unknown,9,319,0,5
10/27/2020,Dukes and Nantucket,,,0,2
10/28/2020,Barnstable,7,1999,1,183
10/28/2020,Berkshire,6,780,0,52
10/28/2020,Bristol,181,12167,7,750
10/28/2020,Dukes,2,78,,
10/28/2020,Essex,224,23642,1,1343
10/28/2020,Franklin,0,472,0,72
10/28/2020,Hampden,101,9901,3,815
10/28/2020,Hampshire,7,1472,1,155
10/28/2020,Middlesex,214,31808,8,2265
10/28/2020,Nantucket,9,163,,
10/28/2020,Norfolk,57,11733,2,1108
10/28/2020,Plymouth,56,11350,4,832
10/28/2020,Suffolk,160,28152,2,1173
10/28/2020,Worcester,122,16471,7,1169
10/28/2020,Unknown,0,310,0,5
10/28/2020,Dukes and Nantucket,,,0,2
10/29/2020,Barnstable,5,2004,0,183
10/29/2020,Berkshire,1,781,0,52
10/29/2020,Bristol,171,12338,2,752
10/29/2020,Dukes,2,80,,
10/29/2020,Essex,219,23861,5,1348
10/29/2020,Franklin,6,478,1,73
10/29/2020,Hampden,115,10016,1,816
10/29/2020,Hampshire,12,1484,0,155
10/29/2020,Middlesex,207,32015,7,2272
10/29/2020,Nantucket,1,164,,
10/29/2020,Norfolk,81,11814,2,1110
10/29/2020,Plymouth,73,11423,3,835
10/29/2020,Suffolk,248,28400,4,1177
10/29/2020,Worcester,109,16580,2,1171
10/29/2020,Unknown,0,303,0,5
10/29/2020,Dukes and Nantucket,,,0,2
10/30/2020,Barnstable,16,2020,0,183
10/30/2020,Berkshire,2,783,0,52
10/30/2020,Bristol,195,12533,5,757
10/30/2020,Dukes,5,85,,
10/30/2020,Essex,228,24089,5,1353
10/30/2020,Franklin,1,479,0,73
10/30/2020,Hampden,135,10151,0,816
10/30/2020,Hampshire,19,1503,0,155
10/30/2020,Middlesex,280,32295,7,2279
10/30/2020,Nantucket,4,168,,
10/30/2020,Norfolk,77,11891,1,1111
10/30/2020,Plymouth,63,11486,1,836
10/30/2020,Suffolk,260,28660,3,1180
10/30/2020,Worcester,185,16765,2,1173
10/30/2020,Unknown,18,321,0,5
10/30/2020,Dukes and Nantucket,,,0,2
10/31/2020,Barnstable,9,2029,2,185
10/31/2020,Berkshire,1,784,0,52
10/31/2020,Bristol,175,12708,4,761
10/31/2020,Dukes,4,89,,
10/31/2020,Essex,230,24319,3,1356
10/31/2020,Franklin,0,479,0,73
10/31/2020,Hampden,103,10254,1,817
10/31/2020,Hampshire,6,1509,0,155
10/31/2020,Middlesex,262,32557,2,2281
10/31/2020,Nantucket,1,169,,
10/31/2020,Norfolk,100,11991,0,1111
10/31/2020,Plymouth,77,11563,1,837
10/31/2020,Suffolk,191,28851,1,1181
10/31/2020,Worcester,129,16894,2,1175
10/31/2020,Unknown,4,325,0,5
10/31/2020,Dukes and Nantucket,,,0,2
11/1/2020,Barnstable,22,2051,0,185
11/1/2020,Berkshire,5,789,0,52
11/1/2020,Bristol,104,12812,2,763
11/1/2020,Dukes,1,90,,
11/1/2020,Essex,181,24500,2,1358
11/1/2020,Franklin,4,483,0,73
11/1/2020,Hampden,105,10359,4,821
11/1/2020,Hampshire,11,1520,0,155
11/1/2020,Middlesex,224,32781,7,2288
11/1/2020,Nantucket,3,172,,
11/1/2020,Norfolk,98,12089,1,1112
11/1/2020,Plymouth,68,11631,2,839
11/1/2020,Suffolk,180,29031,2,1183
11/1/2020,Worcester,123,17017,2,1177
11/1/2020,Unknown,10,335,0,5
11/1/2020,Dukes and Nantucket,,,0,2
11/2/2020,Barnstable,9,2060,0,185
11/2/2020,Berkshire,14,803,0,52
11/2/2020,Bristol,105,12917,1,764
11/2/2020,Dukes,0,90,,
11/2/2020,Essex,112,24612,0,1358
11/2/2020,Franklin,4,487,1,74
11/2/2020,Hampden,66,10425,1,822
11/2/2020,Hampshire,1,1521,0,155
11/2/2020,Middlesex,126,32907,0,2288
11/2/2020,Nantucket,0,172,,
11/2/2020,Norfolk,49,12138,2,1114
11/2/2020,Plymouth,50,11681,2,841
11/2/2020,Suffolk,135,29166,1,1184
11/2/2020,Worcester,60,17077,2,1179
11/2/2020,Unknown,0,329,0,5
11/2/2020,Dukes and Nantucket,,,0,2
11/3/2020,Barnstable,5,2065,0,185
11/3/2020,Berkshire,5,808,0,52
11/3/2020,Bristol,93,13010,2,766
11/3/2020,Dukes,2,92,,
11/3/2020,Essex,112,24724,3,1361
11/3/2020,Franklin,0,487,0,74
11/3/2020,Hampden,98,10523,2,824
11/3/2020,Hampshire,16,1537,0,155
11/3/2020,Middlesex,212,33119,2,2290
11/3/2020,Nantucket,2,174,,
11/3/2020,Norfolk,84,12222,0,1114
11/3/2020,Plymouth,66,11747,2,843
11/3/2020,Suffolk,103,29269,0,1184
11/3/2020,Worcester,124,17201,1,1180
11/3/2020,Unknown,1,330,0,5
11/3/2020,Dukes and Nantucket,,,0,2
11/4/2020,Barnstable,13,2078,1,186
11/4/2020,Berkshire,6,814,0,52
11/4/2020,Bristol,229,13239,3,769
11/4/2020,Dukes,2,94,,
11/4/2020,Essex,341,25065,1,1362
11/4/2020,Franklin,3,490,0,74
11/4/2020,Hampden,128,10651,1,825
11/4/2020,Hampshire,22,1559,1,156
11/4/2020,Middlesex,333,33452,7,2297
11/4/2020,Nantucket,4,178,,
11/4/2020,Norfolk,69,12291,2,1116
11/4/2020,Plymouth,84,11831,5,848
11/4/2020,Suffolk,205,29474,3,1187
11/4/2020,Worcester,147,17348,3,1183
11/4/2020,Unknown,43,373,0,5
11/4/2020,Dukes and Nantucket,,,0,2
11/5/2020,Barnstable,11,2089,0,186
11/5/2020,Berkshire,4,818,0,52
11/5/2020,Bristol,201,13440,2,771
11/5/2020,Dukes,3,97,,
11/5/2020,Essex,300,25365,0,1362
11/5/2020,Franklin,5,495,0,74
11/5/2020,Hampden,161,10812,5,830
11/5/2020,Hampshire,21,1580,1,157
11/5/2020,Middlesex,322,33774,8,2305
11/5/2020,Nantucket,8,186,,
11/5/2020,Norfolk,103,12394,2,1118
11/5/2020,Plymouth,98,11929,0,848
11/5/2020,Suffolk,252,29726,2,1189
11/5/2020,Worcester,304,17652,2,1185
11/5/2020,Unknown,0,341,1,6
11/5/2020,Dukes and Nantucket,,,0,2
11/6/2020,Barnstable,22,2111,0,186
11/6/2020,Berkshire,11,829,0,52
11/6/2020,Bristol,217,13657,0,771
11/6/2020,Dukes,1,98,,
11/6/2020,Essex,376,25741,2,1364
11/6/2020,Franklin,5,500,0,74
11/6/2020,Hampden,195,11007,4,834
11/6/2020,Hampshire,24,1604,1,158
11/6/2020,Middlesex,368,34142,5,2310
11/6/2020,Nantucket,5,191,,
11/6/2020,Norfolk,144,12538,3,1121
11/6/2020,Plymouth,93,12022,0,848
11/6/2020,Suffolk,336,30062,2,1191
11/6/2020,Worcester,221,17873,4,1189
11/6/2020,Unknown,20,361,1,6
11/6/2020,Dukes and Nantucket,,,0,2
11/7/2020,Barnstable,12,2123,0,186
11/7/2020,Berkshire,9,838,0,52
11/7/2020,Bristol,219,13876,2,773
11/7/2020,Dukes,14,112,,
11/7/2020,Essex,396,26137,2,1366
11/7/2020,Franklin,4,504,0,74
11/7/2020,Hampden,181,11188,2,836
11/7/2020,Hampshire,34,1638,0,158
11/7/2020,Middlesex,444,34586,4,2314
11/7/2020,Nantucket,3,194,,
11/7/2020,Norfolk,159,12697,4,1125
11/7/2020,Plymouth,109,12131,2,850
11/7/2020,Suffolk,297,30359,2,1193
11/7/2020,Worcester,298,18171,5,1194
11/7/2020,Unknown,21,382,0,6
11/7/2020,Dukes and Nantucket,,,0,2
11/8/2020,Barnstable,16,2139,0,186
11/8/2020,Berkshire,7,845,0,52
11/8/2020,Bristol,189,14065,1,774
11/8/2020,Dukes,7,119,,
11/8/2020,Essex,353,26490,3,1369
11/8/2020,Franklin,3,507,0,74
11/8/2020,Hampden,168,11356,2,838
11/8/2020,Hampshire,21,1659,0,158
11/8/2020,Middlesex,393,34979,5,2319
11/8/2020,Nantucket,8,202,,
11/8/2020,Norfolk,98,12795,2,1127
11/8/2020,Plymouth,64,12195,1,851
11/8/2020,Suffolk,318,30677,5,1198
11/8/2020,Worcester,163,18334,1,1195
11/8/2020,Unknown,1,383,0,6
11/8/2020,Dukes and Nantucket,,,0,2
11/9/2020,Barnstable,11,2150,0,186
11/9/2020,Berkshire,16,861,0,52
11/9/2020,Bristol,106,14171,3,777
11/9/2020,Dukes,3,122,,
11/9/2020,Essex,131,26621,3,1372
11/9/2020,Franklin,6,513,0,74
11/9/2020,Hampden,204,11560,1,839
11/9/2020,Hampshire,15,1674,0,158
11/9/2020,Middlesex,198,35177,3,2322
11/9/2020,Nantucket,0,202,,
11/9/2020,Norfolk,90,12885,0,1127
11/9/2020,Plymouth,63,12258,0,851
11/9/2020,Suffolk,180,30857,3,1201
11/9/2020,Worcester,140,18474,1,1196
11/9/2020,Unknown,21,404,0,6
11/9/2020,Dukes and Nantucket,,,0,2
11/10/2020,Barnstable,30,2180,0,186
11/10/2020,Berkshire,42,903,0,52
11/10/2020,Bristol,292,14463,3,780
11/10/2020,Dukes,3,125,,
11/10/2020,Essex,268,26889,2,1374
11/10/2020,Franklin,4,517,0,74
11/10/2020,Hampden,167,11727,3,842
11/10/2020,Hampshire,19,1693,0,158
11/10/2020,Middlesex,339,35516,3,2325
11/10/2020,Nantucket,10,212,,
11/10/2020,Norfolk,170,13055,3,1130
11/10/2020,Plymouth,114,12372,4,855
11/10/2020,Suffolk,301,31158,0,1201
11/10/2020,Worcester,270,18744,3,1199
11/10/2020,Unknown,18,422,0,6
11/10/2020,Dukes and Nantucket,,,0,2
11/11/2020,Barnstable,22,2202,0,186
11/11/2020,Berkshire,50,953,0,52
11/11/2020,Bristol,364,14827,4,784
11/11/2020,Dukes,16,141,,
11/11/2020,Essex,342,27231,8,1382
11/11/2020,Franklin,4,521,0,74
11/11/2020,Hampden,236,11963,0,842
11/11/2020,Hampshire,37,1730,0,158
11/11/2020,Middlesex,507,36023,8,2333
11/11/2020,Nantucket,6,218,,
11/11/2020,Norfolk,144,13199,6,1136
11/11/2020,Plymouth,120,12492,7,862
11/11/2020,Suffolk,296,31454,0,1201
11/11/2020,Worcester,351,19095,5,1204
11/11/2020,Unknown,0,422,0,6
11/11/2020,Dukes and Nantucket,,,0,2
11/12/2020,Barnstable,8,2210,0,186
11/12/2020,Berkshire,29,982,0,52
11/12/2020,Bristol,246,15073,1,785
11/12/2020,Dukes,13,154,,
11/12/2020,Essex,447,27678,2,1384
11/12/2020,Franklin,7,528,0,74
11/12/2020,Hampden,186,12149,2,844
11/12/2020,Hampshire,31,1761,0,158
11/12/2020,Middlesex,528,36551,8,2341
11/12/2020,Nantucket,3,221,,
11/12/2020,Norfolk,152,13351,1,1137
11/12/2020,Plymouth,124,12616,0,862
11/12/2020,Suffolk,337,31791,2,1203
11/12/2020,Worcester,373,19468,4,1208
11/12/2020,Unknown,0,420,0,6
11/12/2020,Dukes and Nantucket,,,0,2
11/13/2020,Barnstable,33,2243,0,186
11/13/2020,Berkshire,19,1001,0,52
11/13/2020,Bristol,321,15394,4,789
11/13/2020,Dukes,5,159,,
11/13/2020,Essex,367,28045,3,1387
11/13/2020,Franklin,8,536,1,75
11/13/2020,Hampden,313,12462,1,845
11/13/2020,Hampshire,54,1815,1,159
11/13/2020,Middlesex,562,37113,6,2347
11/13/2020,Nantucket,9,230,,
11/13/2020,Norfolk,172,13523,2,1139
11/13/2020,Plymouth,87,12703,1,863
11/13/2020,Suffolk,397,32188,1,1204
11/13/2020,Worcester,313,19781,3,1211
11/13/2020,Unknown,14,434,0,6
11/13/2020,Dukes and Nantucket,,,0,2
11/14/2020,Barnstable,23,2266,1,187
11/14/2020,Berkshire,20,1021,0,52
11/14/2020,Bristol,329,15723,3,792
11/14/2020,Dukes,7,166,,
11/14/2020,Essex,538,28583,3,1390
11/14/2020,Franklin,9,545,0,75
11/14/2020,Hampden,270,12732,4,849
11/14/2020,Hampshire,35,1850,1,160
11/14/2020,Middlesex,539,37652,4,2351
11/14/2020,Nantucket,12,242,,
11/14/2020,Norfolk,145,13668,8,1147
11/14/2020,Plymouth,124,12827,2,865
11/14/2020,Suffolk,373,32561,1,1205
11/14/2020,Worcester,385,20166,1,1212
11/14/2020,Unknown,32,466,0,6
11/14/2020,Dukes and Nantucket,,,0,2
11/15/2020,Barnstable,21,2287,1,188
11/15/2020,Berkshire,6,1027,0,52
11/15/2020,Bristol,196,15919,7,799
11/15/2020,Dukes,10,176,,
11/15/2020,Essex,382,28965,2,1392
11/15/2020,Franklin,5,550,0,75
11/15/2020,Hampden,191,12923,6,855
11/15/2020,Hampshire,24,1874,0,160
11/15/2020,Middlesex,594,38246,4,2355
11/15/2020,Nantucket,8,250,,
11/15/2020,Norfolk,134,13802,2,1149
11/15/2020,Plymouth,73,12900,4,869
11/15/2020,Suffolk,231,32792,3,1208
11/15/2020,Worcester,209,20375,6,1218
11/15/2020,Unknown,0,458,1,7
11/15/2020,Dukes and Nantucket,,,0,2
11/16/2020,Barnstable,18,2305,0,188
11/16/2020,Berkshire,45,1072,0,52
11/16/2020,Bristol,227,16146,6,805
11/16/2020,Dukes,5,181,,
11/16/2020,Essex,244,29209,0,1392
11/16/2020,Franklin,4,554,0,75
11/16/2020,Hampden,178,13101,1,856
11/16/2020,Hampshire,21,1895,0,160
11/16/2020,Middlesex,397,38643,1,2356
11/16/2020,Nantucket,2,252,,
11/16/2020,Norfolk,115,13917,0,1149
11/16/2020,Plymouth,131,13031,1,870
11/16/2020,Suffolk,314,33106,1,1209
11/16/2020,Worcester,255,20630,1,1219
11/16/2020,Unknown,11,469,1,7
11/16/2020,Dukes and Nantucket,,,0,2
